"onset" "subj" "trial"
"429" -44 3 186
"430" 464 3 186
"431" 464 3 186
"432" -52 3 187
"433" 396 3 187
"434" 388 3 188
"435" 516 3 188
"436" -96 3 189
"437" -116 3 190
"438" 348 3 190
"439" 280 3 191
"440" -340 3 192
"441" -212 3 192
"442" 444 3 192
"443" 392 3 193
"444" -360 3 194
"445" 572 3 194
"446" 268 3 195
"447" 464 3 195
"448" -44 4 196
"449" -232 4 197
"450" -356 4 198
"451" 332 4 198
"452" -4 4 199
"453" 60 4 199
"454" 88 4 199
"455" 292 4 199
"456" -212 4 200
"457" -140 4 200
"458" 36 4 200
"459" -304 4 201
"460" -244 4 201
"461" -36 4 201
"462" -248 4 202
"463" -136 4 202
"464" 444 4 202
"465" -348 4 203
"466" -56 4 203
"467" -164 4 204
"468" -304 4 205
"469" 52 4 205
"470" -28 4 206
"471" 56 4 206
"472" 360 4 206
"473" -68 4 207
"474" 268 4 207
"475" 520 4 207
"476" 360 4 208
"477" 528 4 208
"478" 584 4 208
"479" -88 5 209
"480" 256 5 209
"481" 280 5 209
"482" -272 5 210
"483" -52 5 210
"484" 360 5 210
"485" -320 5 211
"486" -240 5 211
"487" -112 5 211
"488" 76 5 211
"489" 452 5 211
"490" -248 5 212
"491" -220 5 212
"492" 276 5 212
"493" -252 5 213
"494" 0 5 213
"495" 444 5 213
"496" 444 5 213
"497" 52 5 214
"498" 392 5 214
"499" -48 5 215
"500" 276 5 215
"501" 316 5 215
"502" -200 5 216
"503" 24 5 216
"504" 360 5 216
"505" -236 5 217
"506" 456 5 217
"507" -368 5 218
"508" -100 5 218
"509" 280 5 218
"510" 572 5 218
"511" -164 5 219
"512" 332 5 219
"513" -340 5 220
"514" 356 5 220
"515" -316 5 221
"516" -292 5 221
"517" 72 5 221
"518" 300 5 221
"519" -208 5 222
"520" 236 5 222
"521" -176 5 223
"522" 52 5 223
"523" 288 5 223
"524" -288 5 224
"525" 296 5 224
"526" 28 5 225
"527" 304 5 225
"528" -76 5 226
"529" 316 5 226
"530" -4 5 227
"531" -280 5 228
"532" 8 5 228
"533" 464 5 228
"534" -336 5 229
"535" 20 5 229
"536" 276 5 229
"537" -92 5 230
"538" 400 5 230
"539" -380 5 231
"540" -368 5 231
"541" -44 5 231
"542" 288 5 231
"543" -200 5 232
"544" 360 5 232
"545" 28 5 233
"546" 284 5 233
"547" -156 5 234
"548" 92 5 234
"549" 468 5 234
"550" 12 5 235
"551" 316 5 235
"552" -348 5 236
"553" 516 5 236
"554" -304 5 237
"555" 100 5 237
"556" -316 5 238
"557" -212 5 238
"558" 400 5 238
"559" -388 5 239
"560" -128 5 239
"561" 300 5 239
"562" -344 5 240
"563" -52 5 240
"564" 308 5 240
"565" -264 5 241
"566" 352 5 241
"567" -12 5 242
"568" 8 5 242
"569" 428 5 242
"570" -192 5 243
"571" -192 5 243
"572" 296 5 243
"573" 588 5 243
"574" -136 5 244
"575" 472 5 244
"576" -252 5 245
"577" 444 5 245
"578" -400 5 246
"579" 248 5 246
"580" -368 5 247
"581" 64 5 247
"582" 296 5 247
"583" 500 5 247
"584" -400 5 248
"585" -168 5 248
"586" 296 5 248
"587" -240 5 249
"588" 80 5 249
"589" 476 5 249
"590" 476 5 249
"591" 64 5 250
"592" 324 5 250
"593" -300 5 251
"594" 380 5 251
"595" -276 5 252
"596" -32 5 252
"597" 372 5 252
"598" -308 5 253
"599" -16 5 253
"600" 264 5 253
"601" 580 5 253
"602" 424 5 254
"603" -136 5 255
"604" 76 5 255
"605" 496 5 255
"606" -260 5 256
"607" -8 5 256
"608" 344 5 256
"609" -68 5 257
"610" 300 5 257
"611" 580 5 257
"612" -332 5 258
"613" 12 5 258
"614" 336 5 258
"615" -68 5 259
"616" 336 5 259
"617" -100 5 260
"618" 280 5 260
"619" -168 5 261
"620" 228 5 261
"621" 452 5 261
"622" -264 5 262
"623" -24 5 262
"624" 272 5 262
"625" -188 5 263
"626" -48 5 263
"627" 244 5 263
"628" 500 5 263
"629" -188 5 264
"630" 116 5 264
"631" 320 5 264
"632" 568 5 264
"633" -132 5 265
"634" 84 5 265
"635" 444 5 265
"636" 416 6 266
"637" 100 6 267
"638" 536 6 267
"639" -272 6 268
"640" 24 6 268
"641" 44 6 268
"642" 596 6 268
"643" -372 6 269
"644" -52 6 269
"645" 364 6 269
"646" -200 6 270
"647" 440 6 270
"648" -280 6 271
"649" -256 6 271
"650" -20 6 271
"651" 36 6 271
"652" 36 6 271
"653" 36 6 271
"654" 36 6 271
"655" -292 6 272
"656" 368 6 272
"657" -36 6 273
"658" 400 6 273
"659" -372 6 274
"660" -168 6 274
"661" 444 6 274
"662" -308 6 275
"663" 36 6 275
"664" 544 6 275
"665" 600 6 275
"666" -392 6 276
"667" -376 6 276
"668" -76 6 276
"669" 4 6 276
"670" -384 6 277
"671" -48 6 277
"672" 524 6 277
"673" 400 6 278
"674" -232 6 279
"675" 380 6 279
"676" -264 6 280
"677" 384 6 280
"678" 456 6 280
"679" -28 6 281
"680" 160 6 281
"681" -196 6 282
"682" 508 6 282
"683" 252 6 283
"684" 348 6 283
"685" 192 6 284
"686" 0 6 285
"687" 572 6 285
"688" 308 6 286
"689" 92 6 287
"690" 532 6 287
"691" 556 6 287
"692" 0 6 288
"693" 28 6 288
"694" 64 6 288
"695" 480 6 288
"696" 472 6 289
"697" -20 6 290
"698" 320 6 290
"699" -144 6 291
"700" -80 6 291
"701" -220 6 292
"702" 392 6 292
"703" -228 6 293
"704" 364 6 293
"705" 268 6 294
"706" -4 6 295
"707" 24 6 295
"708" -100 6 296
"709" 324 6 296
"710" -396 6 297
"711" 16 6 297
"712" 372 6 297
"713" 472 6 297
"714" -368 6 298
